GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.DeleteAnnotationDocumentCommand,97,0,8,0,20,0,8,0,4,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,AIRViewerController.PageDimensions,29,0,0,0,5,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,AbstractDocumentCommandWrapper.AbstractDocumentCommand,59,0,2,0,20,0,6,0,5,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.DeleteSelectedAnnotationDocumentCommand,125,0,14,0,26,0,12,0,5,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.ReplaceAnnotationDocumentCommand,88,0,14,0,15,0,11,0,4,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.new AbstractDocumentCommandWrapper.makeCommand() {...},8,6,0,0,1,1,1,1,1,1
AirViewer2,edu.wright.airviewer2,AIRViewer,198,0,26,0,49,0,21,0,8,0
AirViewer2,edu.wright.airviewer2,ProgressBarAndIndicator,0,23,0,0,0,5,0,2,0,2
AirViewer2,edu.wright.airviewer2,AIRViewerController.new EventHandler() {...},21,0,0,0,6,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.AddBoxAnnotationDocumentCommand,56,0,8,0,10,0,8,0,4,0
AirViewer2,edu.wright.airviewer2,AIRViewerController.new InvalidationListener() {...},50,0,0,0,8,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,AIRViewerController.new EventHandler() {...},48,0,0,0,6,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,AIRViewerController.new EventHandler() {...},28,0,0,0,6,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,AIRViewerController,1348,0,142,0,268,0,106,0,35,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.SaveTextDocumentCommand,76,0,12,0,13,0,10,0,4,0
AirViewer2,edu.wright.airviewer2,ZoomInZoomOut,2,53,2,2,0,11,2,3,0,3
AirViewer2,edu.wright.airviewer2,EllipseAnnotationMaker,443,0,14,0,74,0,10,0,3,0
AirViewer2,edu.wright.airviewer2,MessageBox,66,0,0,0,18,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,TextAnnotationMaker,312,0,14,0,63,0,10,0,3,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper,36,66,5,3,7,13,6,2,2,2
AirViewer2,edu.wright.airviewer2,AIRViewerController.new EventHandler() {...},44,0,0,0,6,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,AIRViewerController.new EventHandler() {...},48,0,0,0,6,0,2,0,2,0
AirViewer2,edu.wright.airviewer2,AIRViewerController.new EventHandler() {...},61,0,6,0,13,0,5,0,2,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.AddCircleAnnotationDocumentCommand,56,0,8,0,10,0,8,0,4,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.MoveAnnotationDocumentCommand,216,0,24,0,40,0,17,0,5,0
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.SaveDocumentCommand,57,0,12,0,11,0,10,0,4,0
AirViewer2,edu.wright.airviewer2,AIRViewerModel,49,32,0,0,14,7,7,3,7,3
AirViewer2,edu.wright.airviewer2,DocumentCommandWrapper.AddTextAnnotationDocumentCommand,56,0,8,0,10,0,8,0,4,0
AirViewer2,edu.wright.airviewer2,SplitAndMerge,28,339,5,13,5,80,5,7,0,3
AirViewer2,edu.wright.airviewer2,AbstractDocumentCommandWrapper,311,34,36,0,79,9,35,3,17,3
AirViewer2,edu.wright.airviewer2,BoxAnnotationMaker,320,0,14,0,66,0,10,0,3,0
